,Exp_IDs,ID_IDs,Light,Stage,Age,Spec,Rep,sws1,sws2b,sws2a,P_sws1,P_sws2b,P_sws2a,SC_sws1,SC_sws2b,SC_sws2a,PSI_SC
582,PRX266,RR-E31-XIL03,RR,E,31,XIL,3,25.35339089,21.70431073,22.31719211,0.008539456,0.107130415,0.070051446,0.045979945,0.576834239,0.377185816,446.1284356
583,PRX267,RR-E32-XIL03,RR,E,32,XIL,3,27.36780971,22.37589496,21.66806463,0.003028099,0.096357631,0.157385339,0.011792991,0.375266697,0.612940313,454.9930089
584,PRX268,RR-E33-XIL03,RR,E,33,XIL,3,28.81838417,23.07524033,21.38032843,0.000841737,0.045085311,0.145966902,0.004386471,0.2349491,0.760664429,459.4263575
585,PRX269,RR-E34-XIL03,RR,E,34,XIL,3,27.59882305,22.62827543,21.99828221,0.002387063,0.074842415,0.115822958,0.012364842,0.387679207,0.599955951,454.6096673
587,PRX270,RR-E35-XIL03,RR,E,35,XIL,3,24.54463389,21.15767906,22.4119428,0.009597989,0.100404977,0.042090514,0.063105854,0.660153065,0.276741081,442.1467998
40,PRN110,WW-E5-NIC01,WW,E,5,NIC,1,22.5242604,28.69076421,30.19967934,0.26965427,0.00375409,0.001319095,0.981533754,0.013664779,0.004801467,361.6021378
41,PRN111,WW-E15-NIC01,WW,E,15,NIC,1,21.13915165,24.20441424,28.42045474,0.217361024,0.02596843,0.001397304,0.888178415,0.106111934,0.005709651,369.0941777
42,PRN112,WW-E20-NIC01,WW,E,20,NIC,1,21.80585089,23.06322211,25.58063204,0.129680844,0.054246206,0.009474438,0.670526606,0.280484948,0.048988446,387.6315711
43,PRN113,WW-E21-NIC01,WW,E,21,NIC,1,22.63881015,23.29585932,26.77950961,0.100642324,0.063824754,0.00570566,0.591412732,0.375058629,0.033528639,393.5587261
44,PRN114,WW-E22-NIC01,WW,E,22,NIC,1,22.0316429,21.33979384,23.18284361,0.052867739,0.085400036,0.023803718,0.32620011,0.526928178,0.146871712,417.7226557
45,PRN115,WW-E23-NIC01,WW,E,23,NIC,1,20.46250087,22.02969458,24.55048415,0.160968973,0.054321263,0.009465348,0.716195657,0.241690381,0.042113962,383.7993104
46,PRN116,WW-E24-NIC01,WW,E,24,NIC,1,22.64222102,23.41071956,28.2102582,0.093498951,0.054886511,0.001970882,0.621849059,0.36504287,0.013108071,390.5928851
47,PRN117,WW-E25-NIC01,WW,E,25,NIC,1,21.32815901,23.4993951,28.14355335,0.162454505,0.036068208,0.001442426,0.812414131,0.180372481,0.007213389,375.1944177
48,PRN118,WW-E26-NIC01,WW,E,26,NIC,1,22.3906625,22.36258292,25.31519039,0.070715948,0.072105794,0.009314226,0.464820706,0.47395626,0.061223034,404.4061424
49,PRN119,WW-E30-NIC01,WW,E,30,NIC,1,21.43271288,22.47024653,24.32399874,0.12728672,0.062008945,0.01715613,0.616544506,0.300355563,0.083099931,392.8370377
108,PRN172,WW-E5-NIC02,WW,E,5,NIC,2,23.71168916,31.1808606,32.22929543,NA,NA,NA,0.991697291,0.005596732,0.002705977,360.7345721
109,PRN173,WW-E10-NIC02,WW,E,10,NIC,2,23.6805379,27.88974942,30.76248147,NA,NA,NA,0.942112606,0.050933543,0.006953851,364.8117917
110,PRN174,WW-E15-NIC02,WW,E,15,NIC,2,23.28601347,26.95297838,30.48326018,NA,NA,NA,0.921197999,0.072524803,0.006277198,366.4673672
111,PRN175,WW-E20-NIC02,WW,E,20,NIC,2,22.23975652,24.15125953,27.0682425,NA,NA,NA,0.768633325,0.204314631,0.027052045,379.2126872
112,PRN176,WW-E21-NIC02,WW,E,21,NIC,2,22.04050217,23.16859618,26.69702473,NA,NA,NA,0.667926768,0.305589701,0.026483531,387.2544304
113,PRN177,WW-E22-NIC02,WW,E,22,NIC,2,22.22150078,24.83909139,28.04374677,NA,NA,NA,0.847017323,0.138012684,0.014969993,372.627834
114,PRN178,WW-E23-NIC02,WW,E,23,NIC,2,21.47711778,23.34039305,26.22707761,NA,NA,NA,0.762186206,0.209488091,0.028325703,379.7615718
115,PRN179,WW-E24-NIC02,WW,E,24,NIC,2,22.254331,23.04469461,27.51103041,NA,NA,NA,0.623303595,0.360393108,0.016303297,390.5595981
117,PRN180,WW-E25-NIC02,WW,E,25,NIC,2,22.03327405,21.90468193,24.87224519,NA,NA,NA,0.447830669,0.489580281,0.06258905,405.8008618
118,PRN181,WW-E26-NIC02,WW,E,26,NIC,2,22.59813315,24.25430247,29.45635059,NA,NA,NA,0.754204829,0.239294471,0.0065007,379.8326319
119,PRN182,WW-E27-NIC02,WW,E,27,NIC,2,22.6562446,23.25350263,25.82566089,NA,NA,NA,0.564283337,0.372996403,0.06272026,396.4880598
120,PRN183,WW-E28-NIC02,WW,E,28,NIC,2,22.5803508,21.63948884,24.31338504,NA,NA,NA,0.310511422,0.596080962,0.093407616,417.5876843
121,PRN184,WW-E30-NIC02,WW,E,30,NIC,2,29.98448169,31.14075153,34.25023992,NA,NA,NA,0.666375155,0.298983272,0.034641574,387.5906685
128,PRN191,WW-L40-NIC02,WW,L,40,NIC,2,25.32160415,24.77746959,26.22483407,NA,NA,NA,0.334131495,0.487212295,0.178656209,417.9145418
129,PRN192,WW-L41-NIC02,WW,L,41,NIC,2,23.03428488,23.43032206,25.83477249,NA,NA,NA,0.525353118,0.399238341,0.075408541,399.9323727
137,PRN2,WW-L36-NIC01,WW,L,36,NIC,1,26.45877998,28.57076004,36.09638396,0.052186099,0.012072174,6.55E-05,0.81130325,0.187678217,0.001018534,375.1222219
149,PRN211,WW-L35-NIC03,WW,L,35,NIC,3,22.57258445,23.52290851,26.33373236,NA,NA,NA,0.628429047,0.325222215,0.046348738,390.9307434
150,PRN212,WW-L36-NIC03,WW,L,36,NIC,3,22.08487161,22.65195871,28.11466694,NA,NA,NA,0.591616608,0.399328337,0.009055055,392.9061028
151,PRN213,WW-L37-NIC03,WW,L,37,NIC,3,21.16947102,23.31645776,25.88598884,NA,NA,NA,0.791252554,0.178651931,0.030095515,377.4822791
152,PRN214,WW-L38-NIC03,WW,L,38,NIC,3,21.97362359,23.05676191,26.19843292,NA,NA,NA,0.655530208,0.309410885,0.035058907,388.4691149
153,PRN215,WW-L39-NIC03,WW,L,39,NIC,3,21.44749337,23.88679898,29.59913999,NA,NA,NA,0.841829592,0.155210119,0.002960289,372.7306001
154,PRN216,WW-L40-NIC03,WW,L,40,NIC,3,22.0741571,22.68470072,25.66825045,NA,NA,NA,0.575454303,0.376893718,0.047651978,395.2026072
155,PRN217,WW-L41-NIC03,WW,L,41,NIC,3,22.25750498,22.06825674,23.54395219,NA,NA,NA,0.392137056,0.447102689,0.160760255,412.8088022
156,PRN218,WW-L42-NIC03,WW,L,42,NIC,3,24.97914025,26.01413375,27.74734814,NA,NA,NA,0.611693872,0.298517669,0.08978846,393.3989902
157,PRN219,WW-L43-NIC03,WW,L,43,NIC,3,22.42836568,22.26286104,24.47808257,NA,NA,NA,0.423174778,0.474615194,0.102210028,408.8034785
159,PRN220,WW-L44-NIC03,WW,L,44,NIC,3,22.29342579,21.66272477,22.80852694,NA,NA,NA,0.307875988,0.476689675,0.215434337,420.9712137
160,PRN221,WW-L45-NIC03,WW,L,45,NIC,3,22.11436363,22.09618017,24.15214971,NA,NA,NA,0.443219042,0.448840645,0.107940313,407.3489248
189,PRN248,WW-E5-NIC03,WW,E,5,NIC,3,23.02504925,26.25744943,27.06537465,NA,NA,NA,0.856766306,0.091161816,0.052071878,372.8125643
190,PRN249,WW-E15-NIC03,WW,E,15,NIC,3,19.91610518,24.79341256,25.42430549,NA,NA,NA,0.946973509,0.032219738,0.020806753,364.7830949
192,PRN250,WW-E20-NIC03,WW,E,20,NIC,3,21.43557685,22.25920177,25.29292201,NA,NA,NA,0.61198896,0.345786299,0.042224741,392.1387265
193,PRN251,WW-E21-NIC03,WW,E,21,NIC,3,21.30339396,22.40397572,26.11387408,NA,NA,NA,0.665794291,0.310478794,0.023726914,387.3533564
194,PRN252,WW-E22-NIC03,WW,E,22,NIC,3,21.26764657,22.41035446,25.91691263,NA,NA,NA,0.669900513,0.303403759,0.026695728,387.1020479
195,PRN253,WW-E23-NIC03,WW,E,23,NIC,3,21.33623716,22.57023961,26.31952535,NA,NA,NA,0.68645937,0.291838837,0.021701793,385.647497
196,PRN254,WW-E24-NIC03,WW,E,24,NIC,3,20.74529356,22.26092089,24.31419465,NA,NA,NA,0.697344909,0.243892443,0.058762648,385.7402361
